violation_id,severity,category,violation_class,evidence,file_path,line_no,proposed_disposition,guardian_justification,owner,tracking_link
514,HIGH,antipattern,hygiene,ImportError,agentic_core/L2_execution/config/hybrid_retriever_config.py,382,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
681,HIGH,antipattern,hygiene,getattr,agentic_core/L2_execution/utils/replay_guard.py,227,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
807,HIGH,antipattern,hygiene,ImportError,agentic_core/L3_orchestration/reasoning/engines/graph_aware_indexer.py,306,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
834,HIGH,antipattern,hygiene,Exception,agentic_core/L3_orchestration/reasoning/graph_coordinated_orchestrator.py,100,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
835,HIGH,antipattern,hygiene,Exception,agentic_core/L3_orchestration/reasoning/graph_coordinated_orchestrator.py,146,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
836,HIGH,antipattern,hygiene,Exception,agentic_core/L3_orchestration/reasoning/graph_coordinated_orchestrator.py,347,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
838,HIGH,antipattern,hygiene,Exception,agentic_core/L3_orchestration/reasoning/graph_coordinated_orchestrator.py,347,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
837,HIGH,antipattern,hygiene,Exception,agentic_core/L3_orchestration/reasoning/graph_coordinated_orchestrator.py,368,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
883,HIGH,antipattern,hygiene,AttributeError,agentic_core/L3_orchestration/utils/orchestration_handshake_util.py,91,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
935,HIGH,antipattern,hygiene,AttributeError,agentic_core/L4_state/enforcement/authority/run_state_authority.py,575,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
939,HIGH,antipattern,hygiene,ImportError,agentic_core/L4_state/enforcement/elevator_shaft_consistency_enforcer.py,232,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
941,HIGH,antipattern,hygiene,AttributeError,agentic_core/L4_state/enforcement/graph_memory_bridge.py,337,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
970,HIGH,antipattern,hygiene,AttributeError,agentic_core/L4_state/reasoning/CachedStateLedger.py,301,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
972,HIGH,antipattern,hygiene,AttributeError,agentic_core/L4_state/reasoning/CachedStateLedger.py,367,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
982,HIGH,antipattern,hygiene,AttributeError,agentic_core/L4_state/reasoning/l4_tool_registry.py,374,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
985,HIGH,antipattern,hygiene,AttributeError,agentic_core/L4_state/reasoning/parent_child_expansion.py,214,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1023,HIGH,antipattern,hygiene,AttributeError,agentic_core/L4_state/utils/memory/completeness_snapshot_registry.py,519,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1044,HIGH,antipattern,hygiene,AttributeError,agentic_core/L4_state/utils/memory/l1_exact_cache.py,156,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1051,HIGH,antipattern,hygiene,AttributeError,agentic_core/L4_state/utils/memory/retrieval_eval_registry.py,500,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1085,HIGH,antipattern,hygiene,AttributeError,agentic_core/L4_state/utils/memory/sovereign_reasoning_memory_ledger.py,257,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1087,HIGH,antipattern,hygiene,AttributeError,agentic_core/L4_state/utils/memory/sovereign_semantic_cache.py,320,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1113,HIGH,antipattern,hygiene,ImportError,agentic_core/L5_safety/audit/safety_audit_emitter.py,135,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1477,HIGH,antipattern,hygiene,Exception,agentic_core/L5_safety/reasoning/graph_aware_safety_monitor.py,112,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1478,HIGH,antipattern,hygiene,Exception,agentic_core/L5_safety/reasoning/graph_aware_safety_monitor.py,174,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1479,HIGH,antipattern,hygiene,Exception,agentic_core/L5_safety/reasoning/graph_aware_safety_monitor.py,201,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1480,HIGH,antipattern,hygiene,Exception,agentic_core/L5_safety/reasoning/graph_aware_safety_monitor.py,235,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1486,HIGH,antipattern,hygiene,Exception,agentic_core/L5_safety/reasoning/graph_aware_safety_monitor.py,235,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1481,HIGH,antipattern,hygiene,Exception,agentic_core/L5_safety/reasoning/graph_aware_safety_monitor.py,277,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1487,HIGH,antipattern,hygiene,Exception,agentic_core/L5_safety/reasoning/graph_aware_safety_monitor.py,277,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1482,HIGH,antipattern,hygiene,Exception,agentic_core/L5_safety/reasoning/graph_aware_safety_monitor.py,313,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1488,HIGH,antipattern,hygiene,Exception,agentic_core/L5_safety/reasoning/graph_aware_safety_monitor.py,313,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1483,HIGH,antipattern,hygiene,Exception,agentic_core/L5_safety/reasoning/graph_aware_safety_monitor.py,353,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1489,HIGH,antipattern,hygiene,Exception,agentic_core/L5_safety/reasoning/graph_aware_safety_monitor.py,353,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1484,HIGH,antipattern,hygiene,Exception,agentic_core/L5_safety/reasoning/graph_aware_safety_monitor.py,388,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1485,HIGH,antipattern,hygiene,Exception,agentic_core/L5_safety/reasoning/graph_aware_safety_monitor.py,423,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1722,HIGH,antipattern,hygiene,ImportError,agentic_core/L6_observability/execution/observability_recorder.py,279,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1723,HIGH,antipattern,hygiene,ImportError,agentic_core/L6_observability/execution/observability_recorder.py,323,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1742,HIGH,antipattern,hygiene,ImportError,agentic_core/L6_observability/utils/engines/SovereignHealthMonitor.py,236,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1755,HIGH,antipattern,hygiene,ImportError,agentic_core/L6_observability/utils/engines/drift_detector.py,83,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1757,HIGH,antipattern,hygiene,AttributeError,agentic_core/L6_observability/utils/engines/drift_registry.py,149,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1760,HIGH,antipattern,hygiene,AttributeError,agentic_core/L6_observability/utils/engines/metrics_server.py,160,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1775,HIGH,antipattern,hygiene,AttributeError,agentic_core/L6_observability/utils/evaluation/evaluation_learning_bridge.py,346,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1784,HIGH,antipattern,hygiene,AttributeError,agentic_core/L6_observability/utils/evaluation/promotion_gauntlet.py,36,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1799,HIGH,antipattern,hygiene,ImportError,agentic_core/L6_observability/utils/react_chunking_telemetry.py,325,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1824,HIGH,antipattern,hygiene,getattr,agentic_core/adg/analysis/hotspot_index.py,334,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
1827,HIGH,antipattern,hygiene,getattr,agentic_core/adg/analysis/hotspot_index_types.py,334,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2058,HIGH,antipattern,hygiene,ImportError,agentic_core/base_agents/L3OrchestrationBase.py,296,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2059,HIGH,antipattern,hygiene,ImportError,agentic_core/base_agents/L6ObservabilityBase.py,211,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2065,HIGH,antipattern,hygiene,AttributeError,agentic_core/base_agents/SovereignBaseAgent.py,474,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2066,HIGH,antipattern,hygiene,AttributeError,agentic_core/base_agents/SovereignBaseAgent.py,479,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2085,HIGH,antipattern,hygiene,AttributeError,agentic_core/cache/core/tool_embedding_cache.py,226,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2150,HIGH,antipattern,hygiene,getattr,agentic_core/evaluation/judges/consensus.py,117,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2163,HIGH,antipattern,hygiene,getattr,agentic_core/evaluation/judges/llm_judge.py,365,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2206,HIGH,antipattern,hygiene,AttributeError,agentic_core/knowledge/canonical/canonical_store.py,143,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2221,HIGH,antipattern,hygiene,AttributeError,agentic_core/knowledge/engine/rag_orchestrator.py,364,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2252,HIGH,antipattern,hygiene,Exception,agentic_core/knowledge/research_cache/cache_store_util.py,255,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2269,HIGH,antipattern,hygiene,OSError,agentic_core/knowledge/retrieval/evidence_contract_builder.py,792,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2271,HIGH,antipattern,hygiene,OSError,agentic_core/knowledge/retrieval/identifier_refs.py,389,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2387,HIGH,antipattern,hygiene,ImportError,agentic_core/prompt_governance/security/detectors/injection_detector.py,341,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2388,HIGH,antipattern,hygiene,ImportError,agentic_core/prompt_governance/security/detectors/injection_detector.py,432,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2415,HIGH,antipattern,hygiene,AttributeError,agentic_core/runtime/engine/agent_engine.py,250,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2420,HIGH,antipattern,hygiene,AttributeError,agentic_core/runtime/utils/discovery_util.py,215,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2421,HIGH,antipattern,hygiene,AttributeError,agentic_core/runtime/utils/discovery_util.py,282,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2422,HIGH,antipattern,hygiene,AttributeError,agentic_core/runtime/utils/discovery_util.py,333,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2451,HIGH,antipattern,hygiene,ImportError,agentic_core/utils/meta_learning_engine_util.py,216,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2452,HIGH,antipattern,hygiene,AttributeError,agentic_core/utils/meta_learning_engine_util.py,284,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2453,HIGH,antipattern,hygiene,ImportError,agentic_core/utils/meta_learning_engine_util.py,319,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2454,HIGH,antipattern,hygiene,AttributeError,agentic_core/utils/meta_learning_engine_util.py,347,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2455,HIGH,antipattern,hygiene,AttributeError,agentic_core/utils/meta_learning_engine_util.py,363,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2456,HIGH,antipattern,hygiene,AttributeError,agentic_core/utils/meta_learning_engine_util.py,379,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2457,HIGH,antipattern,hygiene,AttributeError,agentic_core/utils/meta_learning_engine_util.py,395,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2460,HIGH,antipattern,hygiene,AttributeError,agentic_core/utils/meta_learning_engine_util.py,411,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
2484,HIGH,antipattern,hygiene,AttributeError,agentic_core/visualization/engines/trace_3d_visualizer.py,637,guardian-or-fix,Broad-catch antipattern — must replace with specific exception OR add guardian comment with case-specific justification per anti-pattern-author-gate.md.,,
6623,CRITICAL,violates,hygiene,L0->L_APP,agentic_core/L0_routing/config/path_constants.py,21,fix-required,,,
6624,CRITICAL,violates,hygiene,L1->L_APP,agentic_core/L1_cognition/config/react_config.py,26,fix-required,,,
6621,CRITICAL,antipattern,hygiene,urllib.request.urlopen,agentic_core/L3_orchestration/exit_eval/judges/_base_http_judge.py,111,fix-required,,,
6625,CRITICAL,violates,hygiene,L5->L_APP,agentic_core/L5_safety/config/structure_blueprint_config.py,114,fix-required,,,
6626,CRITICAL,violates,hygiene,L5->L_APP,agentic_core/L5_safety/enforcement/error_recovery_guardrail.py,53,fix-required,,,
