G_id,concern,module_path,fan_in,fan_out,betweenness
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/security/credential_guard.py,2,85,0.02
G08,Output-side AI firewall,agentic_core/L5_safety/enforcement/security/injection_regression_gate.py,2,81,0.02
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/ssot_scanner_enforcer.py,2,86,0.02
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/ssot_structure_validation_enforcer.py,2,76,0.02
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/three_tier_compliance_enforcer.py,2,74,0.02
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/eval_spine/claim_extractor.py,2,7,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/eval_spine/judge_backends/base.py,2,2,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/eval_spine/judge_backends/null.py,2,5,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/eval_spine/output_contract_validator.py,2,9,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/eval_spine/trajectory_metrics.py,2,5,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/CodeJanitorAgent.py,2,8,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/ResourceManagerAgent.py,2,89,0.02
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/SystemArchitectAgent.py,2,105,0.03
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/file_classification/validation_rules.py,2,5,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/graph_aware_safety_monitor.py,2,14,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/guardian_decision.py,2,81,0.02
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/location_utils_util.py,2,91,0.02
G16,v5 governance plane,agentic_core/L5_safety/v5/decision_rail.py,2,19,0.00
G16,v5 governance plane,agentic_core/L5_safety/v5/g1_triage.py,2,13,0.00
G16,v5 governance plane,agentic_core/L5_safety/v5/g2a_origin_trust.py,2,6,0.00
G16,v5 governance plane,agentic_core/L5_safety/v5/out_of_band_invariants.py,2,3,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/HygieneGuardianAgent.py,2,94,0.02
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/chaos_healing_integration_types.py,2,84,0.02
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/dependency_healing_integration_types.py,2,84,0.02
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/invalid_stub_validator.py,2,86,0.02
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/silent_degradation_validator.py,2,73,0.02
G14,Structure blueprint (config),agentic_core/L5_safety/config/structure_blueprint/semantics.py,1,67,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/contracts/_status_enums.py,1,3,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/artifact_emission_prohibition_enforcer.py,1,12,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/error_recovery_strategy.py,1,62,0.01
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/gates/tool_safety_gate.py,1,88,0.01
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/mcp_sovereign_authority_enforcer.py,1,85,0.01
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/pii_vault_enforcer.py,1,76,0.01
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/retrieval/retrieval_safety_gate.py,1,2,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/eval_spine/judge_backends/anthropic_stub.py,1,7,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/eval_spine/tool_call_canonicalizer.py,1,6,0.00
G04,End-user identity propagation,agentic_core/L5_safety/identity/hitl_sweep_bridge.py,1,5,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/ConstitutionalReviewerAgent.py,1,84,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/DDDAlignmentAgent.py,1,98,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/DocumentationAgent.py,1,81,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/DynamicSealAgent.py,1,84,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/GitHygieneAgent.py,1,90,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/GospelSyncAgent.py,1,83,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/GravityLeakHealerAgent.py,1,63,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/InspectorExecutor.py,1,67,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/InterfaceBoundaryAgent.py,1,86,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/L5SafetyExerciserAgent.py,1,97,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/NeuralAutoImmuneAgent.py,1,83,0.01
G10,Policy plane,agentic_core/L5_safety/reasoning/PolicyNeuralAutoImmuneAgent.py,1,87,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/PreCommitSovereignAgent.py,1,93,0.01
G09,Audit emission (cross-cutting),agentic_core/L5_safety/reasoning/PredictiveCostAuditorAgent.py,1,90,0.01
G11,Continuous red-team assurance,agentic_core/L5_safety/reasoning/RedTeamAgent.py,1,88,0.01
G08,Output-side AI firewall,agentic_core/L5_safety/reasoning/RegressionOracleAgent.py,1,89,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/ReportLocationAgent.py,1,95,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/SafetyDetectorAgent.py,1,89,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/SafetyExecutorAgent.py,1,90,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/SecurityManagerAgent.py,1,90,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/SovereignActionPlaneAgent.py,1,109,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/SprawlInspectorAgent.py,1,90,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/StructuralEngineerAgent.py,1,92,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/TerritoryChangeHandlerAgent.py,1,89,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/TestGeneratorAgent.py,1,91,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/TypeHintFixerAgent.py,1,83,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/TypeMechanicAgent.py,1,80,0.01
G10,Policy plane,agentic_core/L5_safety/reasoning/file_classification/naming_policy.py,1,4,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/filesystem_ssot_validator.py,1,80,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/reasoning/gravity_validator.py,1,88,0.01
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g25_runtime_anomaly.py,1,7,0.00
G01,Named guardrail family catalog,agentic_core/L5_safety/runtime_gates/g29_learning_firewall.py,1,7,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/canonical_truth_util.py,1,82,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/code_tool_runner_core_util.py,1,84,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/cognitive_batch_processor_util.py,1,85,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/utils/cost_governor_util.py,1,6,0.00
G16,v5 governance plane,agentic_core/L5_safety/v5/governance_plane.py,1,42,0.01
G16,v5 governance plane,agentic_core/L5_safety/v5/promotion_receipt.py,1,5,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/anti_pattern_scanner_validator.py,1,108,0.01
G14,Config/blueprint,agentic_core/L5_safety/validators/config_with_logic_validator.py,1,84,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/context_validator.py,1,84,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/direct_prompt_compilation_validator.py,1,83,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/global_mutation_validator.py,1,68,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/hollow_file_detector_validator.py,1,18,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/magic_validator.py,1,69,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/path_fragility_validator.py,1,68,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/silent_swallower_validator.py,1,83,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/test_skip_detector_validator.py,1,85,0.01
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/validators/type_erasure_validator.py,1,68,0.01
G14,Structure blueprint (config),agentic_core/L5_safety/config/structure_blueprint/territories_loader.py,0,3,0.00
G14,Structure blueprint (config),agentic_core/L5_safety/config/structure_blueprint_config.py,0,49,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/contracts/_base.py,0,6,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/contracts/authority.py,0,27,0.00
G08,Output-side AI firewall,agentic_core/L5_safety/contracts/egress.py,0,27,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/contracts/enforcement.py,0,24,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/contracts/hitl.py,0,25,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/contracts/origin.py,0,25,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/contracts/parent.py,0,18,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/contracts/registry.py,0,809,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/contracts/replay.py,0,24,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/contracts/runtime_binding.py,0,19,0.00
G-UNCLASSIFIED,Needs human triage,agentic_core/L5_safety/contracts/static.py,0,26,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/AdapterBase.py,0,24,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/DomainPlannerAdapter.py,0,84,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/HealingStrategy.py,0,94,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/HumanReviewAdapter.py,0,87,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/SurgicalHealingAdapter.py,0,89,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/agent_info_enforcer.py,0,17,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/airlock_guardrail.py,0,10,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/airlock_trimmer_enforcer.py,0,18,0.00
G09,Audit emission (cross-cutting),agentic_core/L5_safety/enforcement/audit/ai_check_audit.py,0,17,0.00
G09,Audit emission (cross-cutting),agentic_core/L5_safety/enforcement/audit/hash_chain_audit_log.py,0,16,0.00
G09,Audit emission (cross-cutting),agentic_core/L5_safety/enforcement/audit/safety_audit_trail.py,0,17,0.00
G09,Audit emission (cross-cutting),agentic_core/L5_safety/enforcement/audit_healing_strategy.py,0,13,0.00
G07,Capability token TTL & single-use,agentic_core/L5_safety/enforcement/canary_token_defense_strategy.py,0,14,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/circular_import_fixer_enforcer.py,0,18,0.00
G09,Audit emission (cross-cutting),agentic_core/L5_safety/enforcement/compliance_audit_manager_enforcer.py,0,13,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/conf_calib_gate.py,0,78,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/context_session_manager_enforcer.py,0,90,0.00
G09,Audit emission (cross-cutting),agentic_core/L5_safety/enforcement/critical_dual_enforcement_audit_enforcer.py,0,84,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/d0_injection_engine_enforcer.py,0,77,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/data_enforcer.py,0,81,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/dependency_graph_enforcer.py,0,79,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/embedding_non_interference_guardrail.py,0,84,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/error_recovery_guardrail.py,0,83,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/eval_guard.py,0,9,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/exit_control_hitl.py,0,27,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/final_airlock_trimmer_enforcer.py,0,85,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/git_health_sensor_enforcer.py,0,86,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/git_kraken_healing_strategy.py,0,81,0.00
G09,Audit emission (cross-cutting),agentic_core/L5_safety/enforcement/governance/agent_heal_audit.py,0,91,0.00
G12,Enforcement chokepoint,agentic_core/L5_safety/enforcement/governance/artifacts_guard.py,0,85,0.00
